,Date,Country,State,City,AvgTemperature
0,2012-01-01,US,Alabama,Birmingham,59.1
1,2012-01-02,US,Alabama,Birmingham,43.0
2,2012-01-03,US,Alabama,Birmingham,30.9
3,2012-01-04,US,Alabama,Birmingham,34.7
4,2012-01-05,US,Alabama,Birmingham,44.1
5,2012-01-06,US,Alabama,Birmingham,46.3
6,2012-01-07,US,Alabama,Birmingham,60.6
7,2012-01-08,US,Alabama,Birmingham,57.4
8,2012-01-09,US,Alabama,Birmingham,59.8
9,2012-01-10,US,Alabama,Birmingham,59.4
10,2012-01-11,US,Alabama,Birmingham,56.4
11,2012-01-12,US,Alabama,Birmingham,46.8
12,2012-01-13,US,Alabama,Birmingham,31.6
13,2012-01-14,US,Alabama,Birmingham,37.7
14,2012-01-15,US,Alabama,Birmingham,44.0
15,2012-01-16,US,Alabama,Birmingham,51.0
16,2012-01-17,US,Alabama,Birmingham,59.3
17,2012-01-18,US,Alabama,Birmingham,50.1
18,2012-01-19,US,Alabama,Birmingham,40.8
19,2012-01-20,US,Alabama,Birmingham,57.9
20,2012-01-21,US,Alabama,Birmingham,64.2
21,2012-01-22,US,Alabama,Birmingham,54.1
22,2012-01-23,US,Alabama,Birmingham,66.2
23,2012-01-24,US,Alabama,Birmingham,52.6
24,2012-01-25,US,Alabama,Birmingham,57.6
25,2012-01-26,US,Alabama,Birmingham,63.8
26,2012-01-27,US,Alabama,Birmingham,51.7
27,2012-01-28,US,Alabama,Birmingham,46.0
28,2012-01-29,US,Alabama,Birmingham,40.5
29,2012-01-30,US,Alabama,Birmingham,44.7
30,2012-01-31,US,Alabama,Birmingham,52.8
31,2012-02-01,US,Alabama,Birmingham,58.5
32,2012-02-02,US,Alabama,Birmingham,59.7
33,2012-02-03,US,Alabama,Birmingham,55.9
34,2012-02-04,US,Alabama,Birmingham,60.7
35,2012-02-05,US,Alabama,Birmingham,57.9
36,2012-02-06,US,Alabama,Birmingham,49.5
37,2012-02-07,US,Alabama,Birmingham,47.9
