index,Date,Country,State,City,AvgTemperature
44300,2012-01-01,US,Alabama,Birmingham,59.1
44301,2012-01-02,US,Alabama,Birmingham,43.0
44302,2012-01-03,US,Alabama,Birmingham,30.9
44303,2012-01-04,US,Alabama,Birmingham,34.7
44304,2012-01-05,US,Alabama,Birmingham,44.1
44305,2012-01-06,US,Alabama,Birmingham,46.3
44306,2012-01-07,US,Alabama,Birmingham,60.6
44307,2012-01-08,US,Alabama,Birmingham,57.4
44308,2012-01-09,US,Alabama,Birmingham,59.8
44309,2012-01-10,US,Alabama,Birmingham,59.4
44310,2012-01-11,US,Alabama,Birmingham,56.4
44311,2012-01-12,US,Alabama,Birmingham,46.8
44312,2012-01-13,US,Alabama,Birmingham,31.6
44313,2012-01-14,US,Alabama,Birmingham,37.7
44314,2012-01-15,US,Alabama,Birmingham,44.0
44315,2012-01-16,US,Alabama,Birmingham,51.0
44316,2012-01-17,US,Alabama,Birmingham,59.3
44317,2012-01-18,US,Alabama,Birmingham,50.1
44318,2012-01-19,US,Alabama,Birmingham,40.8
44319,2012-01-20,US,Alabama,Birmingham,57.9
44320,2012-01-21,US,Alabama,Birmingham,64.2
44321,2012-01-22,US,Alabama,Birmingham,54.1
44322,2012-01-23,US,Alabama,Birmingham,66.2
44323,2012-01-24,US,Alabama,Birmingham,52.6
44324,2012-01-25,US,Alabama,Birmingham,57.6
44325,2012-01-26,US,Alabama,Birmingham,63.8
44326,2012-01-27,US,Alabama,Birmingham,51.7
44327,2012-01-28,US,Alabama,Birmingham,46.0
44328,2012-01-29,US,Alabama,Birmingham,40.5
44329,2012-01-30,US,Alabama,Birmingham,44.7
44330,2012-01-31,US,Alabama,Birmingham,52.8
44331,2012-02-01,US,Alabama,Birmingham,58.5
44332,2012-02-02,US,Alabama,Birmingham,59.7
44333,2012-02-03,US,Alabama,Birmingham,55.9
44334,2012-02-04,US,Alabama,Birmingham,60.7
44335,2012-02-05,US,Alabama,Birmingham,57.9
44336,2012-02-06,US,Alabama,Birmingham,49.5
44337,2012-02-07,US,Alabama,Birmingham,47.9
44338,2012-02-08,US,Alabama,Birmingham,49.8
44339,2012-02-09,US,Alabama,Birmingham,41.4
