id;Date;City;Temperature
32208;01.01.2012;New York City;47.4
32209;02.01.2012;New York City;42.9
32210;03.01.2012;New York City;29.8
32211;04.01.2012;New York City;19.1
32212;05.01.2012;New York City;31.7
32213;06.01.2012;New York City;41.5
32214;07.01.2012;New York City;51.6
32215;08.01.2012;New York City;45.1
32216;09.01.2012;New York City;35.0
32217;10.01.2012;New York City;39.4
32218;11.01.2012;New York City;42.2
32219;12.01.2012;New York City;43.3
32220;13.01.2012;New York City;39.1
32221;14.01.2012;New York City;29.7
32222;15.01.2012;New York City;23.3
32223;16.01.2012;New York City;22.7
32224;17.01.2012;New York City;39.0
32225;18.01.2012;New York City;50.8
32226;19.01.2012;New York City;26.4
32227;20.01.2012;New York City;31.9
32228;21.01.2012;New York City;26.4
32229;22.01.2012;New York City;24.4
32230;23.01.2012;New York City;37.2
32231;24.01.2012;New York City;49.1
32232;25.01.2012;New York City;41.6
32233;26.01.2012;New York City;36.5
32234;27.01.2012;New York City;45.8
32235;28.01.2012;New York City;43.0
32236;29.01.2012;New York City;40.1
32237;30.01.2012;New York City;37.8
32238;31.01.2012;New York City;44.4
32239;01.02.2012;New York City;55.4
32240;02.02.2012;New York City;46.5
32241;03.02.2012;New York City;37.5
32242;04.02.2012;New York City;42.6
32243;05.02.2012;New York City;36.9
32244;06.02.2012;New York City;40.7
32245;07.02.2012;New York City;45.1
32246;08.02.2012;New York City;36.3
32247;09.02.2012;New York City;36.7
32248;10.02.2012;New York City;40.5
32249;11.02.2012;New York City;36.8
32250;12.02.2012;New York City;29.5
32251;13.02.2012;New York City;33.5
32252;14.02.2012;New York City;41.4
32253;15.02.2012;New York City;42.1
32254;16.02.2012;New York City;40.7
32255;17.02.2012;New York City;45.5
32256;18.02.2012;New York City;42.3
32257;19.02.2012;New York City;40.1
32258;20.02.2012;New York City;37.9
32259;21.02.2012;New York City;38.9
32260;22.02.2012;New York City;49.0
32261;23.02.2012;New York City;51.0
32262;24.02.2012;New York City;42.1
32263;25.02.2012;New York City;42.6
32264;26.02.2012;New York City;36.7
32265;27.02.2012;New York City;43.3
