Date,Country,State,City,AvgTemperature
2012-12-02,US,Additional Territories,San Juan Puerto Rico,79.4
2012-12-03,US,Additional Territories,San Juan Puerto Rico,77.9
2012-12-04,US,Additional Territories,San Juan Puerto Rico,79.8
2012-12-05,US,Additional Territories,San Juan Puerto Rico,80.2
2012-12-06,US,Additional Territories,San Juan Puerto Rico,78.2
2012-12-07,US,Additional Territories,San Juan Puerto Rico,78.3
2012-12-08,US,Additional Territories,San Juan Puerto Rico,80.3
2012-12-09,US,Additional Territories,San Juan Puerto Rico,80.4
2012-12-10,US,Additional Territories,San Juan Puerto Rico,80.0
2012-12-11,US,Additional Territories,San Juan Puerto Rico,79.4
2012-12-12,US,Additional Territories,San Juan Puerto Rico,81.6
2012-12-13,US,Additional Territories,San Juan Puerto Rico,78.4
2012-12-14,US,Additional Territories,San Juan Puerto Rico,78.1
2012-12-15,US,Additional Territories,San Juan Puerto Rico,77.6
2012-12-16,US,Additional Territories,San Juan Puerto Rico,76.9
2012-12-17,US,Additional Territories,San Juan Puerto Rico,77.5
2012-12-18,US,Additional Territories,San Juan Puerto Rico,77.9
2012-12-19,US,Additional Territories,San Juan Puerto Rico,78.1
2012-12-20,US,Additional Territories,San Juan Puerto Rico,79.9
2012-12-21,US,Additional Territories,San Juan Puerto Rico,77.3
2012-12-22,US,Additional Territories,San Juan Puerto Rico,77.1
2012-12-23,US,Additional Territories,San Juan Puerto Rico,78.4
2012-12-24,US,Additional Territories,San Juan Puerto Rico,77.7
2012-12-25,US,Additional Territories,San Juan Puerto Rico,78.2
2012-12-26,US,Additional Territories,San Juan Puerto Rico,79.0
2012-12-27,US,Additional Territories,San Juan Puerto Rico,79.3
2012-12-28,US,Additional Territories,San Juan Puerto Rico,79.0
2012-12-29,US,Additional Territories,San Juan Puerto Rico,78.7
2012-12-30,US,Additional Territories,San Juan Puerto Rico,78.0
2012-12-31,US,Additional Territories,San Juan Puerto Rico,78.5
