,Date,Country,State,City,AvgTemperature
0,01/01/2012,US,Alabama,Birmingham,3492.81
1,01/02/2012,US,Alabama,Birmingham,1849.0
2,01/03/2012,US,Alabama,Birmingham,954.81
3,01/04/2012,US,Alabama,Birmingham,1204.0900000000001
4,01/05/2012,US,Alabama,Birmingham,1944.8100000000002
5,01/06/2012,US,Alabama,Birmingham,2143.6899999999996
6,01/07/2012,US,Alabama,Birmingham,3672.36
7,01/08/2012,US,Alabama,Birmingham,3294.7599999999998
8,01/09/2012,US,Alabama,Birmingham,3576.0399999999995
9,01/10/2012,US,Alabama,Birmingham,3528.3599999999997
10,01/11/2012,US,Alabama,Birmingham,3180.96
11,01/12/2012,US,Alabama,Birmingham,2190.24
12,01/13/2012,US,Alabama,Birmingham,998.5600000000001
13,01/14/2012,US,Alabama,Birmingham,1421.2900000000002
14,01/15/2012,US,Alabama,Birmingham,1936.0
15,01/16/2012,US,Alabama,Birmingham,2601.0
16,01/17/2012,US,Alabama,Birmingham,3516.49
17,01/18/2012,US,Alabama,Birmingham,2510.01
18,01/19/2012,US,Alabama,Birmingham,1664.6399999999999
19,01/20/2012,US,Alabama,Birmingham,3352.41
20,01/21/2012,US,Alabama,Birmingham,4121.64
21,01/22/2012,US,Alabama,Birmingham,2926.81
22,01/23/2012,US,Alabama,Birmingham,4382.4400000000005
23,01/24/2012,US,Alabama,Birmingham,2766.76
24,01/25/2012,US,Alabama,Birmingham,3317.76
25,01/26/2012,US,Alabama,Birmingham,4070.4399999999996
26,01/27/2012,US,Alabama,Birmingham,2672.8900000000003
27,01/28/2012,US,Alabama,Birmingham,2116.0
28,01/29/2012,US,Alabama,Birmingham,1640.25
29,01/30/2012,US,Alabama,Birmingham,1998.0900000000001
30,01/31/2012,US,Alabama,Birmingham,2787.8399999999997
31,02/01/2012,US,Alabama,Birmingham,3422.25
32,02/02/2012,US,Alabama,Birmingham,3564.09
33,02/03/2012,US,Alabama,Birmingham,3124.81
34,02/04/2012,US,Alabama,Birmingham,3684.4900000000002
35,02/05/2012,US,Alabama,Birmingham,3352.41
36,02/06/2012,US,Alabama,Birmingham,2450.25
37,02/07/2012,US,Alabama,Birmingham,2294.41
38,02/08/2012,US,Alabama,Birmingham,2480.0399999999995
39,02/09/2012,US,Alabama,Birmingham,1713.9599999999998
