;id;Date;City;Temperature;Sales
0;32208;01.01.2012;New York City;47.4;36
1;32209;02.01.2012;New York City;42.9;34
2;32210;03.01.2012;New York City;29.8;40
3;32211;04.01.2012;New York City;19.1;35
4;32212;05.01.2012;New York City;31.7;48
5;32213;06.01.2012;New York City;41.5;44
6;32214;07.01.2012;New York City;51.6;51
7;32215;08.01.2012;New York City;45.1;36
8;32216;09.01.2012;New York City;35.0;44
9;32217;10.01.2012;New York City;39.4;39
10;32218;11.01.2012;New York City;42.2;39
11;32219;12.01.2012;New York City;43.3;45
12;32220;13.01.2012;New York City;39.1;49
13;32221;14.01.2012;New York City;29.7;46
14;32222;15.01.2012;New York City;23.3;48
15;32223;16.01.2012;New York City;22.7;51
16;32224;17.01.2012;New York City;39.0;56
17;32225;18.01.2012;New York City;50.8;53
18;32226;19.01.2012;New York City;26.4;59
19;32227;20.01.2012;New York City;31.9;53
20;32228;21.01.2012;New York City;26.4;63
21;32229;22.01.2012;New York City;24.4;53
22;32230;23.01.2012;New York City;37.2;51
23;32231;24.01.2012;New York City;49.1;62
24;32232;25.01.2012;New York City;41.6;66
25;32233;26.01.2012;New York City;36.5;61
26;32234;27.01.2012;New York City;45.8;72
27;32235;28.01.2012;New York City;43.0;66
28;32236;29.01.2012;New York City;40.1;75
29;32237;30.01.2012;New York City;37.8;63
30;32238;31.01.2012;New York City;44.4;67
31;32239;01.02.2012;New York City;55.4;77
32;32240;02.02.2012;New York City;46.5;76
33;32241;03.02.2012;New York City;37.5;78
34;32242;04.02.2012;New York City;42.6;71
35;32243;05.02.2012;New York City;36.9;74
36;32244;06.02.2012;New York City;40.7;65
37;32245;07.02.2012;New York City;45.1;74
38;32246;08.02.2012;New York City;36.3;69
39;32247;09.02.2012;New York City;36.7;67
40;32248;10.02.2012;New York City;40.5;75
41;32249;11.02.2012;New York City;36.8;70
42;32250;12.02.2012;New York City;29.5;89
43;32251;13.02.2012;New York City;33.5;80
44;32252;14.02.2012;New York City;41.4;87
45;32253;15.02.2012;New York City;42.1;89
46;32254;16.02.2012;New York City;40.7;91
47;32255;17.02.2012;New York City;45.5;85
48;32256;18.02.2012;New York City;42.3;88
49;32257;19.02.2012;New York City;40.1;96
50;32258;20.02.2012;New York City;37.9;85
51;32259;21.02.2012;New York City;38.9;93
52;32260;22.02.2012;New York City;49.0;80
53;32261;23.02.2012;New York City;51.0;95
54;32262;24.02.2012;New York City;42.1;89
55;32263;25.02.2012;New York City;42.6;100
56;32264;26.02.2012;New York City;36.7;100
57;32265;27.02.2012;New York City;43.3;93
58;32266;28.02.2012;New York City;46.4;97
59;32267;29.02.2012;New York City;41.0;93
60;32268;01.03.2012;New York City;40.0;98
61;32269;02.03.2012;New York City;37.0;90
62;32270;03.03.2012;New York City;46.4;102
63;32271;04.03.2012;New York City;44.3;94
64;32272;05.03.2012;New York City;37.9;106
65;32273;06.03.2012;New York City;33.4;104
66;32274;07.03.2012;New York City;45.5;106
67;32275;08.03.2012;New York City;58.7;105
68;32276;09.03.2012;New York City;49.8;97
69;32277;10.03.2012;New York City;37.1;114
70;32278;11.03.2012;New York City;45.3;110
71;32279;12.03.2012;New York City;52.6;109
72;32280;13.03.2012;New York City;60.1;107
73;32281;14.03.2012;New York City;63.3;120
74;32282;15.03.2012;New York City;48.6;119
75;32283;16.03.2012;New York City;44.5;122
76;32284;17.03.2012;New York City;49.9;112
77;32285;18.03.2012;New York City;50.9;111
78;32286;19.03.2012;New York City;59.3;107
79;32287;20.03.2012;New York City;60.0;109
80;32288;21.03.2012;New York City;57.8;113
81;32289;22.03.2012;New York City;61.2;120
82;32290;23.03.2012;New York City;65.1;114
83;32291;24.03.2012;New York City;58.1;121
84;32292;25.03.2012;New York City;48.3;129
85;32293;26.03.2012;New York City;50.0;131
86;32294;27.03.2012;New York City;39.7;116
87;32295;28.03.2012;New York City;52.7;119
88;32296;29.03.2012;New York City;56.1;122
89;32297;30.03.2012;New York City;46.9;130
90;32298;31.03.2012;New York City;42.6;118
91;32299;01.04.2012;New York City;46.3;123
92;32300;02.04.2012;New York City;48.1;127
93;32301;03.04.2012;New York City;51.0;138
