;Date;Country;State;City;AvgTemperature
0;01/01/2012;US;Alabama;Birmingham;59.1
1;01/02/2012;US;Alabama;Birmingham;43.0
2;01/03/2012;US;Alabama;Birmingham;30.9
3;01/04/2012;US;Alabama;Birmingham;34.7
4;01/05/2012;US;Alabama;Birmingham;44.1
5;01/06/2012;US;Alabama;Birmingham;46.3
6;01/07/2012;US;Alabama;Birmingham;60.6
7;01/08/2012;US;Alabama;Birmingham;57.4
8;01/09/2012;US;Alabama;Birmingham;59.8
9;01/10/2012;US;Alabama;Birmingham;59.4
10;01/11/2012;US;Alabama;Birmingham;56.4
11;01/12/2012;US;Alabama;Birmingham;46.8
12;01/13/2012;US;Alabama;Birmingham;31.6
13;01/14/2012;US;Alabama;Birmingham;37.7
14;01/15/2012;US;Alabama;Birmingham;44.0
15;01/16/2012;US;Alabama;Birmingham;51.0
16;01/17/2012;US;Alabama;Birmingham;59.3
17;01/18/2012;US;Alabama;Birmingham;50.1
18;01/19/2012;US;Alabama;Birmingham;40.8
19;01/20/2012;US;Alabama;Birmingham;57.9
20;01/21/2012;US;Alabama;Birmingham;64.2
21;01/22/2012;US;Alabama;Birmingham;54.1
22;01/23/2012;US;Alabama;Birmingham;66.2
23;01/24/2012;US;Alabama;Birmingham;52.6
24;01/25/2012;US;Alabama;Birmingham;57.6
25;01/26/2012;US;Alabama;Birmingham;63.8
26;01/27/2012;US;Alabama;Birmingham;51.7
27;01/28/2012;US;Alabama;Birmingham;46.0
28;01/29/2012;US;Alabama;Birmingham;40.5
29;01/30/2012;US;Alabama;Birmingham;44.7
30;01/31/2012;US;Alabama;Birmingham;52.8
31;02/01/2012;US;Alabama;Birmingham;58.5
32;02/02/2012;US;Alabama;Birmingham;59.7
33;02/03/2012;US;Alabama;Birmingham;55.9
34;02/04/2012;US;Alabama;Birmingham;60.7
35;02/05/2012;US;Alabama;Birmingham;57.9
36;02/06/2012;US;Alabama;Birmingham;49.5
37;02/07/2012;US;Alabama;Birmingham;47.9
38;02/08/2012;US;Alabama;Birmingham;49.8
39;02/09/2012;US;Alabama;Birmingham;41.4
